original_text,text_cleaned,actual_sentiment,predicted_sentiment
Receptionis nya ga membantu sama sekali main sembarang cancel aja sangat tidak membantu,receptionis nya ga membantu sama sekali main sembarang cancel aja sangat tidak membantu,0,0
kurang suka dengan design kamar dan kamar mandinya,kurang suka dengan design kamar dan kamar mandinya,0,1
lantai di kamar masih kotor dan berdebu,lantai di kamar masih kotor dan berdebu,0,1
"Kebersihan kurang, cenderung lusuh dan tidak bersih",kebersihan kurang cenderung lusuh dan tidak bersih,0,0
handuk kotor dan sangat berisik kamar nya.,handuk kotor dan sangat berisik kamar nya ,0,0
mahal buat harga segitu untuk hotel seprti itu,mahal buat harga segitu untuk hotel seprti itu,0,0
"Kamarnya kurang bersih, lantai kamar kurang bersih",kamarnya kurang bersih lantai kamar kurang bersih,0,0
Kurang suka sama kamar nya lembab bgt,kurang suka sama kamar nya lembab bgt,0,1
"Sarapan sangat tidak bervariasi, rasa standar/biasa",sarapan sangat tidak bervariasi rasa standar biasa,0,0
"kurang memuaskan, fasilitas kurang",kurang memuaskan fasilitas kurang,0,0
minusnya makanan biasa saja..parkir terbatas,minusnya makanan biasa saja parkir terbatas,0,1
Variasi sarapan kurang banyak,variasi sarapan kurang banyak,0,0
"Harga tidak sesuai sepadan dengan realita. Kamar terlalu gelap, seperti kamar hotel seharga 150.000an. Sarapan kurang rekomended dan kurang bervariasi",harga tidak sesuai sepadan dengan realita kamar terlalu gelap seperti kamar hotel seharga an sarapan kurang rekomended dan kurang bervariasi,0,0
"Pelayanan nya sangat tidak memuaskan, tidak ada fasilitas valley, dan ketika tamu kesulitan mengangat barang, tidak ada satu pun petugas yang menawarkan diri.",pelayanan nya sangat tidak memuaskan tidak ada fasilitas valley dan ketika tamu kesulitan mengangat barang tidak ada satu pun petugas yang menawarkan diri ,0,0
fasilitas dengan harga dan reting hotel menurut saya masih kurang,fasilitas dengan harga dan reting hotel menurut saya masih kurang,0,1
kondisi kamar cenderung berdebu dan kamar mandi cenderung kurang terawat,kondisi kamar cenderung berdebu dan kamar mandi cenderung kurang terawat,0,0
harga terlalu mahal jika dibandingkan dengan fasilitasnya,harga terlalu mahal jika dibandingkan dengan fasilitasnya,0,0
kamar pengap tidak ada jendela yang memadai,kamar pengap tidak ada jendela yang memadai,0,0
harga terlalu mahal tidak sesuai dengan pelayanan,harga terlalu mahal tidak sesuai dengan pelayanan,0,0
makanan di resto hotel begitu buruk dan tidak enak,makanan di resto hotel begitu buruk dan tidak enak,0,1
kamar mandi hotel ini buruk sekali,kamar mandi hotel ini buruk sekali,0,1
"pelayanan buruk, tidak ramah pada pengunjung',",pelayanan buruk tidak ramah pada pengunjung ,0,1
"pelayanan di resto kurang baik',",pelayanan di resto kurang baik ,0,1
