original_text,text_cleaned,actual_1,actual_2,predicted_1,predicted_2
"Fasilitas yang ditawarkan oleh hotel ini, termasuk pilihan makanannya, benar-benar memenuhi harapan saya. Makanan yang disajikan sangat enak dan layanan mereka sangat memuaskan.",Fasilitas yang ditawarkan oleh hotel ini termasuk pilihan makanannya benar benar memenuhi harapan saya Makanan yang disajikan sangat enak dan layanan mereka sangat memuaskan ,0.0,0.0,0,0
"Kamar di hotel ini sangat nyaman dengan desain yang modern dan tempat tidur yang empuk. Namun, sayangnya variasi makanan yang disajikan di restorannya terbatas.",Kamar di hotel ini sangat nyaman dengan desain yang modern dan tempat tidur yang empuk Namun sayangnya variasi makanan yang disajikan di restorannya terbatas ,0.0,4.0,0,0
"Kamar yang luas dan bersih membuat pengalaman menginap di hotel ini menyenangkan. Namun, pilihan makanan di restoran perlu diperluas agar lebih memuaskan tamu.",Kamar yang luas dan bersih membuat pengalaman menginap di hotel ini menyenangkan Namun pilihan makanan di restoran perlu diperluas agar lebih memuaskan tamu ,0.0,4.0,0,1
Kamar yang dilengkapi dengan fasilitas lengkap dan pilihan makanan yang lezat di restoran membuat pengalaman menginap di hotel ini sangat memuaskan.,Kamar yang dilengkapi dengan fasilitas lengkap dan pilihan makanan yang lezat di restoran membuat pengalaman menginap di hotel ini sangat memuaskan ,0.0,4.0,0,0
"Harga makanan di restoran ini sangat terjangkau, cocok bagi mereka yang ingin menikmati hidangan lezat tanpa menguras dompet.",Harga makanan di restoran ini sangat terjangkau cocok bagi mereka yang ingin menikmati hidangan lezat tanpa menguras dompet ,0.0,0.0,0,0
Saya senang dengan kombinasi harga dan makanan yang ditawarkan di sini. Rasanya enak dan harganya tidak membuat kantong kosong.,Saya senang dengan kombinasi harga dan makanan yang ditawarkan di sini Rasanya enak dan harganya tidak membuat kantong kosong ,0.0,0.0,0,0
"Menemukan tempat makan dengan harga yang ramah di kantong seringkali sulit, tetapi restoran ini berhasil menyediakan hidangan yang lezat dengan harga yang terjangkau.",Menemukan tempat makan dengan harga yang ramah di kantong seringkali sulit tetapi restoran ini berhasil menyediakan hidangan yang lezat dengan harga yang terjangkau ,0.0,0.0,1,0
"Lokasi hotel ini sangat strategis, karena terletak di pusat kota yang dekat dengan berbagai restoran dan tempat makan.",Lokasi hotel ini sangat strategis karena terletak di pusat kota yang dekat dengan berbagai restoran dan tempat makan ,6.0,0.0,1,1
"Makanan yang disajikan di hotel ini sangat lezat dan beragam, menjadikan pengalaman kuliner kami sangat memuaskan selama menginap di sini.",Makanan yang disajikan di hotel ini sangat lezat dan beragam menjadikan pengalaman kuliner kami sangat memuaskan selama menginap di sini ,6.0,0.0,0,0
"Kami sangat puas dengan lokasi hotel ini yang tidak hanya dekat dengan objek wisata, tetapi juga memiliki akses mudah ke restoran dan warung makan terkenal di sekitarnya.",Kami sangat puas dengan lokasi hotel ini yang tidak hanya dekat dengan objek wisata tetapi juga memiliki akses mudah ke restoran dan warung makan terkenal di sekitarnya ,6.0,0.0,1,1
1. Pelayanan di restoran ini sangat ramah dan responsif. Stafnya sangat perhatian dan siap membantu dengan senyum yang hangat. Makanannya juga lezat dan disajikan dengan baik., Pelayanan di restoran ini sangat ramah dan responsif Stafnya sangat perhatian dan siap membantu dengan senyum yang hangat Makanannya juga lezat dan disajikan dengan baik ,0.0,0.0,1,1
"Saya sangat puas dengan pelayanan yang diberikan di restoran ini. Pelayanannya cepat dan efisien, dan para stafnya sangat ramah. Makanannya juga luar biasa, rasanya enak dan terasa segar.",Saya sangat puas dengan pelayanan yang diberikan di restoran ini Pelayanannya cepat dan efisien dan para stafnya sangat ramah Makanannya juga luar biasa rasanya enak dan terasa segar ,0.0,0.0,1,1
"Pelayanan yang diberikan di restoran ini luar biasa. Stafnya sangat perhatian dan selalu siap membantu dengan segala kebutuhan. Makanannya juga luar biasa lezat, dengan beragam pilihan menu yang memuaskan lidah.",Pelayanan yang diberikan di restoran ini luar biasa Stafnya sangat perhatian dan selalu siap membantu dengan segala kebutuhan Makanannya juga luar biasa lezat dengan beragam pilihan menu yang memuaskan lidah ,0.0,0.0,1,1
Kamar di hotel ini sangat nyaman dengan fasilitas lengkap yang memenuhi kebutuhan saya selama menginap.,Kamar di hotel ini sangat nyaman dengan fasilitas lengkap yang memenuhi kebutuhan saya selama menginap ,0.0,4.0,0,0
"Saya sangat puas dengan kamar yang disediakan hotel ini, dilengkapi dengan fasilitas yang modern dan memadai. ",Saya sangat puas dengan kamar yang disediakan hotel ini dilengkapi dengan fasilitas yang modern dan memadai ,0.0,4.0,1,1
Kamar yang luas dan fasilitas yang lengkap membuat pengalaman menginap saya menjadi lebih menyenangkan dan nyaman.,Kamar yang luas dan fasilitas yang lengkap membuat pengalaman menginap saya menjadi lebih menyenangkan dan nyaman ,0.0,4.0,0,1
Harga yang terjangkau dengan fasilitas lengkap membuat pengalaman menginap di hotel ini sangat memuaskan.,Harga yang terjangkau dengan fasilitas lengkap membuat pengalaman menginap di hotel ini sangat memuaskan ,0.0,0.0,0,0
Saya sangat senang dengan harga yang kompetitif dan fasilitas yang disediakan oleh hotel ini. ,Saya sangat senang dengan harga yang kompetitif dan fasilitas yang disediakan oleh hotel ini ,0.0,0.0,1,1
Fasilitas yang sangat baik dengan harga yang terjangkau membuat hotel ini menjadi pilihan yang tepat bagi wisatawan dengan anggaran terbatas.,Fasilitas yang sangat baik dengan harga yang terjangkau membuat hotel ini menjadi pilihan yang tepat bagi wisatawan dengan anggaran terbatas ,0.0,0.0,1,1
Lokasi hotel ini sangat strategis dengan akses mudah ke berbagai tempat wisata dan pusat perbelanjaan. Fasilitas yang disediakan juga lengkap dan memadai.,Lokasi hotel ini sangat strategis dengan akses mudah ke berbagai tempat wisata dan pusat perbelanjaan Fasilitas yang disediakan juga lengkap dan memadai ,6.0,0.0,1,1
"Saya sangat puas dengan lokasi hotel ini yang berada di pusat kota. Selain itu, fasilitas yang disediakan seperti kolam renang dan pusat kebugaran membuat pengalaman menginap saya semakin menyenangkan",Saya sangat puas dengan lokasi hotel ini yang berada di pusat kota Selain itu fasilitas yang disediakan seperti kolam renang dan pusat kebugaran membuat pengalaman menginap saya semakin menyenangkan,6.0,0.0,1,1
"Lokasi hotel ini sangat nyaman dan tenang, jauh dari keramaian kota. Fasilitas yang tersedia seperti restoran dan ruang pertemuan memenuhi kebutuhan saya selama menginap.",Lokasi hotel ini sangat nyaman dan tenang jauh dari keramaian kota Fasilitas yang tersedia seperti restoran dan ruang pertemuan memenuhi kebutuhan saya selama menginap ,6.0,0.0,1,1
"Pelayanan yang ramah dan fasilitas yang lengkap membuat pengalaman menginap di hotel ini sangat memuaskan. Staff hotel sangat profesional dan membantu dengan segala kebutuhan kami, sementara fasilitas yang disediakan seperti kolam renang dan pusat kebugaran sangat memadai.",Pelayanan yang ramah dan fasilitas yang lengkap membuat pengalaman menginap di hotel ini sangat memuaskan Staff hotel sangat profesional dan membantu dengan segala kebutuhan kami sementara fasilitas yang disediakan seperti kolam renang dan pusat kebugaran sangat memadai ,0.0,0.0,1,1
"Kami sangat terkesan dengan pelayanan yang ramah dan fasilitas yang baik di hotel ini. Staff hotel selalu tersedia untuk membantu kami dengan senyum dan keramahan, sementara fasilitas seperti ruang pertemuan dan layanan kamar 24 jam memenuhi kebutuhan kami dengan baik.",Kami sangat terkesan dengan pelayanan yang ramah dan fasilitas yang baik di hotel ini Staff hotel selalu tersedia untuk membantu kami dengan senyum dan keramahan sementara fasilitas seperti ruang pertemuan dan layanan kamar jam memenuhi kebutuhan kami dengan baik ,0.0,0.0,0,0
"Pelayanan yang sangat baik dan fasilitas yang lengkap membuat kami merasa seperti tamu istimewa. Staff hotel sangat perhatian dan responsif terhadap kebutuhan kami, dan fasilitas seperti restoran dan spa membuat pengalaman menginap kami menjadi lebih menyenangkan. ",Pelayanan yang sangat baik dan fasilitas yang lengkap membuat kami merasa seperti tamu istimewa Staff hotel sangat perhatian dan responsif terhadap kebutuhan kami dan fasilitas seperti restoran dan spa membuat pengalaman menginap kami menjadi lebih menyenangkan ,0.0,0.0,0,1
"Harga kamar di hotel ini sangat terjangkau, membuat pengalaman menginap menjadi lebih ekonomis tanpa mengorbankan kenyamanan.",Harga kamar di hotel ini sangat terjangkau membuat pengalaman menginap menjadi lebih ekonomis tanpa mengorbankan kenyamanan ,0.0,4.0,0,0
Saya sangat terkesan dengan kualitas kamar yang diberikan dengan harga yang sangat kompetitif. Sangat worth it!,Saya sangat terkesan dengan kualitas kamar yang diberikan dengan harga yang sangat kompetitif Sangat worth it ,0.0,4.0,1,1
Harga kamar yang ditawarkan sangat sebanding dengan fasilitas dan kenyamanan yang diberikan. Saya merasa puas dengan nilai yang saya dapatkan.,Harga kamar yang ditawarkan sangat sebanding dengan fasilitas dan kenyamanan yang diberikan Saya merasa puas dengan nilai yang saya dapatkan ,0.0,4.0,0,0
Lokasi hotel ini sangat strategis dan kamar yang disediakan sangat nyaman. Sangat mudah untuk mengakses tempat-tempat wisata dan memiliki tempat istirahat yang menyenangkan setelah seharian beraktivitas.,Lokasi hotel ini sangat strategis dan kamar yang disediakan sangat nyaman Sangat mudah untuk mengakses tempat tempat wisata dan memiliki tempat istirahat yang menyenangkan setelah seharian beraktivitas ,6.0,4.0,1,1
Lokasi hotel ini sangat dekat dengan transportasi umum dan kamar yang disediakan sangat bersih dan nyaman. Saya merasa tenang dan puas dengan kualitas kamar serta kemudahan akses ke tempat-tempat menarik di sekitarnya.,Lokasi hotel ini sangat dekat dengan transportasi umum dan kamar yang disediakan sangat bersih dan nyaman Saya merasa tenang dan puas dengan kualitas kamar serta kemudahan akses ke tempat tempat menarik di sekitarnya ,6.0,4.0,1,1
Lokasi hotel yang terletak di pusat kota sangat memudahkan perjalanan dan kamar yang tersedia sangat luas dan nyaman. Menikmati pemandangan kota dari jendela kamar adalah pengalaman yang menyenangkan. ,Lokasi hotel yang terletak di pusat kota sangat memudahkan perjalanan dan kamar yang tersedia sangat luas dan nyaman Menikmati pemandangan kota dari jendela kamar adalah pengalaman yang menyenangkan ,6.0,4.0,1,1
Pelayanan di hotel ini sangat baik dan kamar yang disediakan juga sangat nyaman. Sangat puas dengan pengalaman menginap di sini.,Pelayanan di hotel ini sangat baik dan kamar yang disediakan juga sangat nyaman Sangat puas dengan pengalaman menginap di sini ,0.0,4.0,1,1
"Staf hotel sangat ramah dan membantu, membuat pengalaman menginap di kamar menjadi lebih menyenangkan.",Staf hotel sangat ramah dan membantu membuat pengalaman menginap di kamar menjadi lebih menyenangkan ,0.0,4.0,1,1
"Pelayanan yang cepat dan efisien, serta kamar yang bersih dan nyaman, membuat saya merasa puas dengan pengalaman menginap di hotel ini.",Pelayanan yang cepat dan efisien serta kamar yang bersih dan nyaman membuat saya merasa puas dengan pengalaman menginap di hotel ini ,0.0,4.0,1,1
Lokasi yang strategis dengan harga yang terjangkau membuat hotel ini menjadi pilihan ideal bagi wisatawan yang ingin menjelajahi kota tanpa melebih anggaran mereka.,Lokasi yang strategis dengan harga yang terjangkau membuat hotel ini menjadi pilihan ideal bagi wisatawan yang ingin menjelajahi kota tanpa melebih anggaran mereka ,6.0,0.0,1,0
"Dengan harga yang terjangkau, hotel ini memiliki lokasi yang sangat menguntungkan, dekat dengan tempat-tempat wisata utama dan akses transportasi yang mudah. ",Dengan harga yang terjangkau hotel ini memiliki lokasi yang sangat menguntungkan dekat dengan tempat tempat wisata utama dan akses transportasi yang mudah ,6.0,0.0,0,0
Saya sangat terkesan dengan lokasi hotel ini yang berada di pusat kota dengan harga yang sangat terjangkau. Sangat mudah bagi saya untuk mengeksplorasi tempat-tempat menarik di sekitarnya tanpa harus menghabiskan banyak uang.,Saya sangat terkesan dengan lokasi hotel ini yang berada di pusat kota dengan harga yang sangat terjangkau Sangat mudah bagi saya untuk mengeksplorasi tempat tempat menarik di sekitarnya tanpa harus menghabiskan banyak uang ,6.0,0.0,0,0
"Pelayanan yang ramah dan harga yang terjangkau membuat pengalaman menginap di hotel ini sangat menyenangkan. Stafnya sangat perhatian dan membantu, dan harga yang ditawarkan sangat sesuai dengan kualitas pelayanan yang diberikan.",Pelayanan yang ramah dan harga yang terjangkau membuat pengalaman menginap di hotel ini sangat menyenangkan Stafnya sangat perhatian dan membantu dan harga yang ditawarkan sangat sesuai dengan kualitas pelayanan yang diberikan ,0.0,0.0,1,1
"Saya sangat puas dengan pelayanan yang diberikan oleh hotel ini. Meskipun harganya terjangkau, namun stafnya sangat profesional dan responsif terhadap kebutuhan tamu. Layanan yang diberikan melebihi ekspektasi saya dengan harga yang sangat terjangkau.",Saya sangat puas dengan pelayanan yang diberikan oleh hotel ini Meskipun harganya terjangkau namun stafnya sangat profesional dan responsif terhadap kebutuhan tamu Layanan yang diberikan melebihi ekspektasi saya dengan harga yang sangat terjangkau ,0.0,0.0,1,0
"Pelayanan yang prima dengan harga yang terjangkau membuat hotel ini menjadi pilihan yang tepat. Stafnya sangat ramah dan siap membantu setiap kebutuhan tamu. Selain itu, harga yang ditawarkan sangat bersaing dan memberikan nilai tambah yang luar biasa.",Pelayanan yang prima dengan harga yang terjangkau membuat hotel ini menjadi pilihan yang tepat Stafnya sangat ramah dan siap membantu setiap kebutuhan tamu Selain itu harga yang ditawarkan sangat bersaing dan memberikan nilai tambah yang luar biasa ,0.0,0.0,1,1
"Pelayanan di hotel ini sangat baik, dan lokasinya yang strategis membuat kami mudah untuk menjelajahi tempat-tempat menarik di sekitarnya.",Pelayanan di hotel ini sangat baik dan lokasinya yang strategis membuat kami mudah untuk menjelajahi tempat tempat menarik di sekitarnya ,6.0,0.0,1,1
"Staf hotel sangat ramah dan siap membantu, serta lokasinya yang berada di pusat kota memudahkan kami dalam melakukan aktivitas dan berbelanja",Staf hotel sangat ramah dan siap membantu serta lokasinya yang berada di pusat kota memudahkan kami dalam melakukan aktivitas dan berbelanja,6.0,0.0,1,1
"Kami sangat puas dengan pelayanan yang diberikan oleh tim hotel ini, ditambah dengan lokasi yang dekat dengan transportasi umum sehingga kami bisa dengan mudah menjelajahi kota ini.",Kami sangat puas dengan pelayanan yang diberikan oleh tim hotel ini ditambah dengan lokasi yang dekat dengan transportasi umum sehingga kami bisa dengan mudah menjelajahi kota ini ,6.0,0.0,1,1
