text,aspek,sentiment,hotel,lokasi,kamar,pelayanan,makanan,harga
promo diskon,harga,positive,0,0,0,0,0,1
ada promo dapat murah,harga,positive,0,0,0,0,0,1
toiletries gratis,harga,positive,0,0,0,0,0,1
early_checkin tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
harga tidak_membuat dompet jebol,harga,positive,0,0,0,0,0,1
harga termasuk amenities alat_mandi air_mineral,harga,positive,0,0,0,0,0,1
extra kasur harga murah,harga,positive,0,0,0,0,0,1
harga miring,harga,positive,0,0,0,0,0,1
termasuk harga sewa kamar,harga,positive,0,0,0,0,0,1
layanan makanan termasuk harga sewa kamar,harga,positive,0,0,0,0,0,1
harga cocok tempat traveler menginap,harga,positive,0,0,0,0,0,1
gratis refill air_minum,harga,positive,0,0,0,0,0,1
sarapan tidak_bayar gratis,harga,positive,0,0,0,0,0,1
harga cukup rendah,harga,positive,0,0,0,0,0,1
gratis air_mineral,harga,positive,0,0,0,0,0,1
harga sesuai,harga,positive,0,0,0,0,0,1
dapat diskon,harga,positive,0,0,0,0,0,1
harga termasuk pajak pelayanan,harga,positive,0,0,0,0,0,1
harga termasuk pajak,harga,positive,0,0,0,0,0,1
harga reasonable,harga,positive,0,0,0,0,0,1
tidak_butuh deposit kamar,harga,positive,0,0,0,0,0,1
gratis parkir,harga,positive,0,0,0,0,0,1
dapat gratis meal,harga,positive,0,0,0,0,0,1
ekonomis hemat dompet,harga,positive,0,0,0,0,0,1
billiard murah mursidah,harga,positive,0,0,0,0,0,1
dapat harga diskon,harga,positive,0,0,0,0,0,1
harga promo,harga,positive,0,0,0,0,0,1
early_checkin tidak_bayar tambahan_biaya,harga,positive,0,0,0,0,0,1
dapat voucher,harga,positive,0,0,0,0,0,1
oke backpacker,harga,positive,0,0,0,0,0,1
harga bayar langsung lebih_murah,harga,positive,0,0,0,0,0,1
cocok harga fleksibel,harga,positive,0,0,0,0,0,1
dapat gratis fruit bucket,harga,positive,0,0,0,0,0,1
dapat fasilitas gratis upgrade_kamar,harga,positive,0,0,0,0,0,1
dapat harga epic diskon,harga,positive,0,0,0,0,0,1
laundry murah,harga,positive,0,0,0,0,0,1
vallet_parking gratis,harga,positive,0,0,0,0,0,1
dapat pelayanan vallet_parking gratis,harga,positive,0,0,0,0,0,1
untung harga hanya sertatus ribu,harga,positive,0,0,0,0,0,1
hotel bintang_empat harga bersahabat,harga,positive,0,0,0,0,0,1
dapat gratis sarapan anak,harga,positive,0,0,0,0,0,1
late_checkout tidak_ada charge,harga,positive,0,0,0,0,0,1
backpacker harga rendah,harga,positive,0,0,0,0,0,1
hotel rekomen backpacker,harga,positive,0,0,0,0,0,1
sesuai harga segitu,harga,positive,0,0,0,0,0,1
nyaman harga segitu,harga,positive,0,0,0,0,0,1
cocok menginap harga ramah_dompet,harga,positive,0,0,0,0,0,1
cocok membutuhkan akomodasi harga rendah,harga,positive,0,0,0,0,0,1
gratis sarapan,harga,positive,0,0,0,0,0,1
pesan makanan harga terjangkau,harga,positive,0,0,0,0,0,1
tempat nyaman backpacker,harga,positive,0,0,0,0,0,1
harga tidak_kuras dompet,harga,positive,0,0,0,0,0,1
snack dijual murah,harga,positive,0,0,0,0,0,1
harga semalam cuma segitu,harga,positive,0,0,0,0,0,1
harga bawah seratus ribu,harga,positive,0,0,0,0,0,1
harga bawah sertaus ribu hari,harga,positive,0,0,0,0,0,1
keren harga segitu,harga,positive,0,0,0,0,0,1
backpacker berjiwa sosial,harga,positive,0,0,0,0,0,1
sesuai harga under seratus ribu,harga,positive,0,0,0,0,0,1
hostel ibukota dibilang cukup murah,harga,positive,0,0,0,0,0,1
cocok solo traveler,harga,positive,0,0,0,0,0,1
pas backpacker,harga,positive,0,0,0,0,0,1
harga tidak_beda jauh hotel lainnya,harga,positive,0,0,0,0,0,1
cocok pelancong harga rendah,harga,positive,0,0,0,0,0,1
early_checkin tidak_ada charge,harga,positive,0,0,0,0,0,1
dapat kupon potongan diskon,harga,positive,0,0,0,0,0,1
harga dompet pelajar,harga,positive,0,0,0,0,0,1
massage murah,harga,positive,0,0,0,0,0,1
gratis buah coklat,harga,positive,0,0,0,0,0,1
harga promo menakjubkan,harga,positive,0,0,0,0,0,1
harga terbaik,harga,positive,0,0,0,0,0,1
cukup dompet pas pasan,harga,positive,0,0,0,0,0,1
harga sebanding diperoleh,harga,positive,0,0,0,0,0,1
bisa refund,harga,positive,0,0,0,0,0,1
harga wajar,harga,positive,0,0,0,0,0,1
wajar harga per malam lima_ratus ribu,harga,positive,0,0,0,0,0,1
harga cocok,harga,positive,0,0,0,0,0,1
dapat laundry gratis,harga,positive,0,0,0,0,0,1
harga tiga_ratus_lima_puluh ribu tidak_nyangka dapat kamar nyaman,harga,positive,0,0,0,0,0,1
harga murah fasilitas bintang_lima,harga,positive,0,0,0,0,0,1
harga makanan wajar dibanding hotel kelasnya,harga,positive,0,0,0,0,0,1
parkir tidak_ada charge,harga,positive,0,0,0,0,0,1
parkir mobil gratis,harga,positive,0,0,0,0,0,1
harga segitu kualitas sesuai,harga,positive,0,0,0,0,0,1
harga ramah fasilitas mewah,harga,positive,0,0,0,0,0,1
pesan minum harga murah,harga,positive,0,0,0,0,0,1
harga kamar satu juta sesuai,harga,positive,0,0,0,0,0,1
harga ramah_dompet,harga,positive,0,0,0,0,0,1
tidak_ada tambahan_tambahan_biaya sarapan anak,harga,positive,0,0,0,0,0,1
ada gratis snack,harga,positive,0,0,0,0,0,1
ditawarin bikin kopi teh mie gratis,harga,positive,0,0,0,0,0,1
harga oke,harga,positive,0,0,0,0,0,1
menginap mendapat promo,harga,positive,0,0,0,0,0,1
gratis sarapan anak,harga,positive,0,0,0,0,0,1
harga murah waktu tertentu,harga,positive,0,0,0,0,0,1
rekomen apabila diskon,harga,positive,0,0,0,0,0,1
sesuai harga pelayanan didapatkan,harga,positive,0,0,0,0,0,1
dapat harga murah,harga,positive,0,0,0,0,0,1
staycation murah,harga,positive,0,0,0,0,0,1
laundry murah bersih,harga,positive,0,0,0,0,0,1
bisa memberi makan ikan gratis,harga,positive,0,0,0,0,0,1
naik sepeda gratis,harga,positive,0,0,0,0,0,1
dapat welcome_drink peach jus waktu bayar langsung pas checkin lebih_hemat,harga,positive,0,0,0,0,0,1
kebetulan nginap ada promo dapat harga miring,harga,positive,0,0,0,0,0,1
harga sesuai kelasnya,harga,positive,0,0,0,0,0,1
hotel kamar baik harga segitu,harga,positive,0,0,0,0,0,1
harga terjangkau sekelas hotel pusat_kota jogja,harga,positive,0,0,0,0,0,1
pandemi harga murah,harga,positive,0,0,0,0,0,1
oke harga dua_ratus ribu,harga,positive,0,0,0,0,0,1
pas dapat harga murah,harga,positive,0,0,0,0,0,1
harga makanan standar porsi besar,harga,positive,0,0,0,0,0,1
dapat harga promo termasuk sarapan,harga,positive,0,0,0,0,0,1
harga murah kualitas tidak_kecewa,harga,positive,0,0,0,0,0,1
alat kesehatan harga terjangkau,harga,positive,0,0,0,0,0,1
murah lumayan,harga,positive,0,0,0,0,0,1
harga masih oke,harga,positive,0,0,0,0,0,1
harga terjangkau ,harga,positive,0,0,0,0,0,1
murah meriah bisa makan sepuasnya,harga,positive,0,0,0,0,0,1
iklan traveloka murah,harga,positive,0,0,0,0,0,1
menginap malam harga murah,harga,positive,0,0,0,0,0,1
hotel murah,harga,positive,0,0,0,0,0,1
murah meriah tapi mewah,harga,positive,0,0,0,0,0,1
bonus canopy,harga,positive,0,0,0,0,0,1
harga standar fasilitas ada,harga,positive,0,0,0,0,0,1
malam minggu ada bbq umum harga cocok murah,harga,positive,0,0,0,0,0,1
harga terjangkau sesuai fasilitas berikan,harga,positive,0,0,0,0,0,1
hotel harga miring,harga,positive,0,0,0,0,0,1
harga murah tempat mewah premium,harga,positive,0,0,0,0,0,1
ada handuk gratis,harga,positive,0,0,0,0,0,1
harga sebanding,harga,positive,0,0,0,0,0,1
rate murah,harga,positive,0,0,0,0,0,1
untung bayar murah,harga,positive,0,0,0,0,0,1
harga new_normal relatif lebih_murah,harga,positive,0,0,0,0,0,1
makan auce lebih_murah langsung reservasi via call_center,harga,positive,0,0,0,0,0,1
lebih_murah langsung reservasi via call_center,harga,positive,0,0,0,0,0,1
dapat harga flash_sale,harga,positive,0,0,0,0,0,1
hotel terkenal murah hati sering memberi gratis upgrade_kamar,harga,positive,0,0,0,0,0,1
tidak_heran harga seharga satu juta semalam,harga,positive,0,0,0,0,0,1
harga sesuai hotel bintang_lima tengah jogja,harga,positive,0,0,0,0,0,1
hotel ramah_dompet,harga,positive,0,0,0,0,0,1
harga terjangkau bawah tiga_ratus ribu termasuk sarapan,harga,positive,0,0,0,0,0,1
harga murah malioboro,harga,positive,0,0,0,0,0,1
hotel rekomendasi traveler,harga,positive,0,0,0,0,0,1
dapat harga satu juta promo,harga,positive,0,0,0,0,0,1
tidak_overprice harga sesuai,harga,positive,0,0,0,0,0,1
harga oke tidak_masalah,harga,positive,0,0,0,0,0,1
harga kamar tidak_overpirce,harga,positive,0,0,0,0,0,1
memuaskan harga kamar lima_ratus ribu,harga,positive,0,0,0,0,0,1
kebetulan diskon,harga,positive,0,0,0,0,0,1
murah harga bawah lima_ratus ribu termasuk sarapan,harga,positive,0,0,0,0,0,1
hotel backpacker,harga,positive,0,0,0,0,0,1
hotel backpacker low_budget,harga,positive,0,0,0,0,0,1
harga cocok low_budget backpacker,harga,positive,0,0,0,0,0,1
hotel low_budget,harga,positive,0,0,0,0,0,1
harga pas dompet,harga,positive,0,0,0,0,0,1
dapat upgrade_kamar gratis,harga,positive,0,0,0,0,0,1
harga ditawarkan sesuai fasilitas didapat,harga,positive,0,0,0,0,0,1
fasilitas karaoke gratis,harga,positive,0,0,0,0,0,1
harga tidak_ekonomis,harga,positive,0,0,0,0,0,1
harga segitu cukup baik,harga,positive,0,0,0,0,0,1
harga hotel termasuk gratis masuk waterpark,harga,positive,0,0,0,0,0,1
harga termasuk sarapan,harga,positive,0,0,0,0,0,1
harga cukup murah sekelas resort hotel,harga,positive,0,0,0,0,0,1
referensi resort cocok liburan pas dompet,harga,positive,0,0,0,0,0,1
harga ramah_dompet didapat sesuai,harga,positive,0,0,0,0,0,1
dapat harga promo lima_ratus ribu kamar hotel,harga,positive,0,0,0,0,0,1
dapat harga promo,harga,positive,0,0,0,0,0,1
tea maker sewa lima_puluh ribu per kamar,harga,positive,0,0,0,0,0,1
harga murah harga lima_ratus ribu,harga,positive,0,0,0,0,0,1
sesuai harga bawah lima_ratus ribu,harga,positive,0,0,0,0,0,1
murah dibanding kelasnya,harga,positive,0,0,0,0,0,1
harga murah hotel baik,harga,positive,0,0,0,0,0,1
harga murah sesuai ditawarkan,harga,positive,0,0,0,0,0,1
sesuai harga segitu promo,harga,positive,0,0,0,0,0,1
harga murah kualitas kamar luas,harga,positive,0,0,0,0,0,1
cara pembayaran mudah,harga,positive,0,0,0,0,0,1
kopi teh pop mie gratis,harga,positive,0,0,0,0,0,1
harga segitu pas,harga,positive,0,0,0,0,0,1
cocok backpacker,harga,positive,0,0,0,0,0,1
gratis minibar,harga,positive,0,0,0,0,0,1
makan_malam pas lagi promo harga murah,harga,positive,0,0,0,0,0,1
semua fasilitas gratis,harga,positive,0,0,0,0,0,1
baik harga segini,harga,positive,0,0,0,0,0,1
tidak_menuntut banyak dapat harga hanya seratus ribu,harga,positive,0,0,0,0,0,1
harga hotel low_budget,harga,positive,0,0,0,0,0,1
cocok low_budget,harga,positive,0,0,0,0,0,1
harga segitu,harga,positive,0,0,0,0,0,1
harga sewa unit kamar murah,harga,positive,0,0,0,0,0,1
jasa sewa lain diberi secara gratis,harga,positive,0,0,0,0,0,1
tidak_ada tambahan_biaya lainnya,harga,positive,0,0,0,0,0,1
budget minimalis,harga,positive,0,0,0,0,0,1
sesuai harga dapat sarapan,harga,positive,0,0,0,0,0,1
harga cocok backpacker,harga,positive,0,0,0,0,0,1
harga cocok menginap istirahat,harga,positive,0,0,0,0,0,1
tarif ekonomis,harga,positive,0,0,0,0,0,1
untung,harga,positive,0,0,0,0,0,1
tarif kamar ekonomis,harga,positive,0,0,0,0,0,1
upgrade_kamar hanya dua_puluh ribu saja,harga,positive,0,0,0,0,0,1
rekomen backpacker,harga,positive,0,0,0,0,0,1
penginapan nyaman backpacker,harga,positive,0,0,0,0,0,1
harga murah segitu baik buat backpacker harga bersahabat,harga,positive,0,0,0,0,0,1
cocok traveler singgah istirahat murah berkualitas,harga,positive,0,0,0,0,0,1
harga tergolong murah,harga,positive,0,0,0,0,0,1
oke harga tergolong murah,harga,positive,0,0,0,0,0,1
ganti kamar hanya tambah dua_puluh ribu,harga,positive,0,0,0,0,0,1
hotelnya sesuai tarif dibayar,harga,positive,0,0,0,0,0,1
rekomen low_budget,harga,positive,0,0,0,0,0,1
baik harga terjangkau,harga,positive,0,0,0,0,0,1
harga bawah standar,harga,positive,0,0,0,0,0,1
harga terjangkau backapacker,harga,positive,0,0,0,0,0,1
hotel murah tidak_murahan,harga,positive,0,0,0,0,0,1
low_budget,harga,positive,0,0,0,0,0,1
bawah lima_ratus ribu dapat kamar tengah_kota nyaman,harga,positive,0,0,0,0,0,1
cocok liburan backpacker teman,harga,positive,0,0,0,0,0,1
tempat istirahat nyaman backpacker,harga,positive,0,0,0,0,0,1
cocok traveler,harga,positive,0,0,0,0,0,1
sesuai harga ramah_dompet pelancong,harga,positive,0,0,0,0,0,1
pengalaman pertama senang tarif hotel murah,harga,positive,0,0,0,0,0,1
harga murah kelasnya,harga,positive,0,0,0,0,0,1
hotel cukup murah terjangkau,harga,positive,0,0,0,0,0,1
murah meriah,harga,positive,0,0,0,0,0,1
sesuai harga dikeluarkan,harga,positive,0,0,0,0,0,1
cocok jalan_jalan hemat nginep sini,harga,positive,0,0,0,0,0,1
pilihan tepat harga murah,harga,positive,0,0,0,0,0,1
hotel sesuai ekspektasi cocok backpacker traveler,harga,positive,0,0,0,0,0,1
pesan single diberi superior ac tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
lebih cocok perjalanan backpacker,harga,positive,0,0,0,0,0,1
sesuai dompet,harga,positive,0,0,0,0,0,1
tempat oke harga segini,harga,positive,0,0,0,0,0,1
cocok backpacker cari harga murah nyaman,harga,positive,0,0,0,0,0,1
sesuai range harga,harga,positive,0,0,0,0,0,1
harga hemat,harga,positive,0,0,0,0,0,1
harga relatif murah,harga,positive,0,0,0,0,0,1
harga online lebih_murah,harga,positive,0,0,0,0,0,1
harga relatif murah rasa sesuai,harga,positive,0,0,0,0,0,1
harga cukup backpacker,harga,positive,0,0,0,0,0,1
harga bersahabat para backpacker,harga,positive,0,0,0,0,0,1
murah tidak_murahan,harga,positive,0,0,0,0,0,1
harga murah kualitas tidak_murahan,harga,positive,0,0,0,0,0,1
harga pelancong,harga,positive,0,0,0,0,0,1
rekomen pelancong,harga,positive,0,0,0,0,0,1
harga murah bawah empat_ratus ribu,harga,positive,0,0,0,0,0,1
isi kulkas diberikan gratis,harga,positive,0,0,0,0,0,1
harga relatif murah hotel sebaik itu,harga,positive,0,0,0,0,0,1
harga kamar murah dapat diskon,harga,positive,0,0,0,0,0,1
cuci mobil gratis,harga,positive,0,0,0,0,0,1
puas harga ekonomis,harga,positive,0,0,0,0,0,1
harga jauh lebih_murah,harga,positive,0,0,0,0,0,1
dapat harga sesuai keinginan budget,harga,positive,0,0,0,0,0,1
harga super murah,harga,positive,0,0,0,0,0,1
dapat kamar harga empat_ratus ribu malam untung,harga,positive,0,0,0,0,0,1
harga cukup murah sekelas bintang_tiga,harga,positive,0,0,0,0,0,1
dapat upgrade_kamar tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
hotel wow harga promo murah terus promo diskon,harga,positive,0,0,0,0,0,1
secara harga hotel serupa lebih_murah dibanding hotel terbaik kelasnya,harga,positive,0,0,0,0,0,1
villa harga ekonomis,harga,positive,0,0,0,0,0,1
bisa bayar kartu_kredit,harga,positive,0,0,0,0,0,1
harga terjangkau dompet,harga,positive,0,0,0,0,0,1
kamar murah,harga,positive,0,0,0,0,0,1
untung harga terjangkau,harga,positive,0,0,0,0,0,1
dapat harga murah pakai voucher,harga,positive,0,0,0,0,0,1
harga family_room semalam empat_ratus ribu,harga,positive,0,0,0,0,0,1
harga tidak_bohong,harga,positive,0,0,0,0,0,1
harga termasuk standar,harga,positive,0,0,0,0,0,1
harga semurah itu,harga,positive,0,0,0,0,0,1
hotel harga budget tidak_seperti hotel budget pada umumnya keren,harga,positive,0,0,0,0,0,1
harga hotel lokasi premium murah,harga,positive,0,0,0,0,0,1
lebih_baik value_for_money,harga,positive,0,0,0,0,0,1
harga hotel cukup bersahabat,harga,positive,0,0,0,0,0,1
dapat harga miring,harga,positive,0,0,0,0,0,1
harga ditawarkan murah,harga,positive,0,0,0,0,0,1
harga hotel pas dompet,harga,positive,0,0,0,0,0,1
dapat gratis upgrade_kamar,harga,positive,0,0,0,0,0,1
menarik harga murah,harga,positive,0,0,0,0,0,1
harga fasilitas didapatkan,harga,positive,0,0,0,0,0,1
hotel murah dibanding hotel lain harga gila_gilaan,harga,positive,0,0,0,0,0,1
ada gratis makan_malam,harga,positive,0,0,0,0,0,1
makanan murah,harga,positive,0,0,0,0,0,1
harga kamar ideal,harga,positive,0,0,0,0,0,1
cocok traveler minim budget,harga,positive,0,0,0,0,0,1
harga murah lebih_ekspektasi,harga,positive,0,0,0,0,0,1
hotel budget nyaman,harga,positive,0,0,0,0,0,1
harga tidak_beda sebelum sesudah covid,harga,positive,0,0,0,0,0,1
harga sesuai kualitas,harga,positive,0,0,0,0,0,1
harga cukup sekelas hotel nyaman,harga,positive,0,0,0,0,0,1
harga segitu lumayan,harga,positive,0,0,0,0,0,1
harga selalu ada promo,harga,positive,0,0,0,0,0,1
harga miring kualitas bagus,harga,positive,0,0,0,0,0,1
dapat air_mineral gratis,harga,positive,0,0,0,0,0,1
harga per malam murah,harga,positive,0,0,0,0,0,1
harga standar,harga,positive,0,0,0,0,0,1
ada promo hotel harga murah,harga,positive,0,0,0,0,0,1
lebih_murah banyak diskon,harga,positive,0,0,0,0,0,1
harga ekonomis kaget lokasi hotel bintang_lima,harga,positive,0,0,0,0,0,1
hotel budget rekomen,harga,positive,0,0,0,0,0,1
harga ekonomis ada promo,harga,positive,0,0,0,0,0,1
hotel harga bersahabat,harga,positive,0,0,0,0,0,1
murah backpacker,harga,positive,0,0,0,0,0,1
oke dompet pelajar,harga,positive,0,0,0,0,0,1
hotel bagus sesuai harga,harga,positive,0,0,0,0,0,1
pesan harga seratus_tiga_puluh ribu termasuk sarapan,harga,positive,0,0,0,0,0,1
gratis pelayanan parkir,harga,positive,0,0,0,0,0,1
hotel terjangkau traveler,harga,positive,0,0,0,0,0,1
budget pas,harga,positive,0,0,0,0,0,1
harga asik,harga,positive,0,0,0,0,0,1
harga tidak_overprice,harga,positive,0,0,0,0,0,1
cocok perjalan singkat minim budget,harga,positive,0,0,0,0,0,1
mendapat harga murah,harga,positive,0,0,0,0,0,1
ada promo gratis snack,harga,positive,0,0,0,0,0,1
rekomen harga empat_ratus ribu fasilitas banyak,harga,positive,0,0,0,0,0,1
dapat gratis upgrade_kamar lebih_luas bagus,harga,positive,0,0,0,0,0,1
harga cukup sesuai,harga,positive,0,0,0,0,0,1
murah pas dompet,harga,positive,0,0,0,0,0,1
harga fantastis ekonomis bersahabat,harga,positive,0,0,0,0,0,1
ramah_dompet travelers,harga,positive,0,0,0,0,0,1
harga tawarkan murah,harga,positive,0,0,0,0,0,1
harga seratus ribu cukup bagus,harga,positive,0,0,0,0,0,1
cocok budget backpacker,harga,positive,0,0,0,0,0,1
harga bersahabat traveler low_budget,harga,positive,0,0,0,0,0,1
harga terjangkau backpacker,harga,positive,0,0,0,0,0,1
rekomen traveler backpacker,harga,positive,0,0,0,0,0,1
sesuai harga murah ukuran dalam kota,harga,positive,0,0,0,0,0,1
harga promo murah meriah diskon,harga,positive,0,0,0,0,0,1
harga luar_biasa hemat,harga,positive,0,0,0,0,0,1
diberi upgrade_kamar gratis pihak hotel,harga,positive,0,0,0,0,0,1
sarapan tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
harga standar murah ukuran hotel,harga,positive,0,0,0,0,0,1
hotel berkelas sesuai rate,harga,positive,0,0,0,0,0,1
banyak menghadirkan promo,harga,positive,0,0,0,0,0,1
murah meriah paket merdeka,harga,positive,0,0,0,0,0,1
galon koridor gratis,harga,positive,0,0,0,0,0,1
harga terbilang murah adanya potongan,harga,positive,0,0,0,0,0,1
dapat harga murah antara jejeran hotel dekat thamrin mahal,harga,positive,0,0,0,0,0,1
gratis teh sore sarapan,harga,positive,0,0,0,0,0,1
harga jauh di_bawah kualitas didapat,harga,positive,0,0,0,0,0,1
bisa pinjam setrika tidak_bayar gratis,harga,positive,0,0,0,0,0,1
fasilitas termasuk harga kamar,harga,positive,0,0,0,0,0,1
bisa early_checkin tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
harga kamar tidak_overprice,harga,positive,0,0,0,0,0,1
ada fasilitas pembayaran debit card,harga,positive,0,0,0,0,0,1
minuman minibar gratis tidak_ada ada tambahan_biaya,harga,positive,0,0,0,0,0,1
tidak_kuras dompet mahasiswa,harga,positive,0,0,0,0,0,1
hotel bintang_empat tergolong murah,harga,positive,0,0,0,0,0,1
telat checkout tidak_bayar denda,harga,positive,0,0,0,0,0,1
elephant bar ada diskon khusus tamu,harga,positive,0,0,0,0,0,1
harga auce sesuai,harga,positive,0,0,0,0,0,1
parkir gratis,harga,positive,0,0,0,0,0,1
sesuai harga dibayar,harga,positive,0,0,0,0,0,1
harga masuk akal,harga,positive,0,0,0,0,0,1
rentang harga tidak_mahal,harga,positive,0,0,0,0,0,1
harga terjangkau dapat sarapan menu hotel,harga,positive,0,0,0,0,0,1
tarif masih oke,harga,positive,0,0,0,0,0,1
order menu makan_siang gratis pengantaran gratis es_boba,harga,positive,0,0,0,0,0,1
promo keren murah seru,harga,positive,0,0,0,0,0,1
cemilan minuman ringan disediakan gratis,harga,positive,0,0,0,0,0,1
menyediakan promo promo menarik,harga,positive,0,0,0,0,0,1
ada minibar gratis,harga,positive,0,0,0,0,0,1
dapat sewa sepeda gratis,harga,positive,0,0,0,0,0,1
harga paling murah jalan_prawirotaman,harga,positive,0,0,0,0,0,1
alternatif liburan irit budget,harga,positive,0,0,0,0,0,1
hotel minim budget,harga,positive,0,0,0,0,0,1
rekomendasi hotel murah,harga,positive,0,0,0,0,0,1
bayar termasuk sarapan,harga,positive,0,0,0,0,0,1
harga murah cocok dompet,harga,positive,0,0,0,0,0,1
gratis sarapan prasmanan gudeg krecek telur,harga,positive,0,0,0,0,0,1
backpacker harga terjangkau,harga,positive,0,0,0,0,0,1
harga terjangkau murah,harga,positive,0,0,0,0,0,1
booking via promo murah,harga,positive,0,0,0,0,0,1
resto murah,harga,positive,0,0,0,0,0,1
pas termasuk murah termasuk sarapan,harga,positive,0,0,0,0,0,1
hotel murah tidak_murahan pas dompet,harga,positive,0,0,0,0,0,1
harga oke murah,harga,positive,0,0,0,0,0,1
harga nyaman saku,harga,positive,0,0,0,0,0,1
harga murah di_bawah tiga_ratus ribu,harga,positive,0,0,0,0,0,1
gratis bayar parkir,harga,positive,0,0,0,0,0,1
pilihan hotel hemat,harga,positive,0,0,0,0,0,1
lahan parkir tidak_dipungut harga,harga,positive,0,0,0,0,0,1
hotel budget,harga,positive,0,0,0,0,0,1
harga kamar relatif murah,harga,positive,0,0,0,0,0,1
harga tidak_mahal,harga,positive,0,0,0,0,0,1
dapat upgrade gratis,harga,positive,0,0,0,0,0,1
ada banyak fasilitas gratis,harga,positive,0,0,0,0,0,1
ada shuttle_bus gratis,harga,positive,0,0,0,0,0,1
wifi gratis,harga,positive,0,0,0,0,0,1
shuttle_bus gratis,harga,positive,0,0,0,0,0,1
dapat kupon diskon makan renang,harga,positive,0,0,0,0,0,1
dapat gratis makan_siang tiga menu,harga,positive,0,0,0,0,0,1
hotel cukup murah,harga,positive,0,0,0,0,0,1
harga relatif murah nyaman dompet,harga,positive,0,0,0,0,0,1
checkin dapat voucher gratis,harga,positive,0,0,0,0,0,1
harga makan reasonable,harga,positive,0,0,0,0,0,1
harga reasonable tergolong murah,harga,positive,0,0,0,0,0,1
harga makanan standar tidak_overprice,harga,positive,0,0,0,0,0,1
dapat harga promo weekend,harga,positive,0,0,0,0,0,1
gratis vallet_parking,harga,positive,0,0,0,0,0,1
mahal,harga,negative,0,0,0,0,0,-1
harga tidak_ekonomis,harga,negative,0,0,0,0,0,-1
minta sandal harus sewa ada tambahan_biaya,harga,negative,0,0,0,0,0,-1
dental kit ada tambahan_biaya,harga,negative,0,0,0,0,0,-1
harga tidak_bersahabat,harga,negative,0,0,0,0,0,-1
harga tidak_sesuai,harga,negative,0,0,0,0,0,-1
harga mahal,harga,negative,0,0,0,0,0,-1
hotel tidak_sesuai harga,harga,negative,0,0,0,0,0,-1
parkir bayar,harga,negative,0,0,0,0,0,-1
sandal pasta_gigi harus beli harga dua_puluh ribu,harga,negative,0,0,0,0,0,-1
makanan minuman bayar,harga,negative,0,0,0,0,0,-1
sikat_gigi bayar,harga,negative,0,0,0,0,0,-1
massage mahal,harga,negative,0,0,0,0,0,-1
